Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-cfbe214b-03c6-4cc9-9cc1-bac300d74d20,MX-P1-1-915926,730099678440,2023-01-14 07:56:04,2023-01-14 07:56:03,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,2530d6e3-3cfa-45c9-9c2a-70bc149a9c0e,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 07:56:04,0,0,0,MX,P1,1.0,915926
T-57873-ca38a7e4-8af2-41c5-93dc-be8a0d749a4d,MX-P1-1-782339,920103636368,2023-01-14 16:39:47,0,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 16:39:47,0,0,0,MX,P1,1.0,782339
T-57873-f9fc5770-53bc-4a72-9d32-603ea6474b4f,MX-P1-1-833108,730099975752,2023-01-14 16:51:30,0,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 16:51:30,0,0,0,MX,P1,1.0,833108
T-57873-c457b1b0-2fd3-4df0-a192-92d0aaa36b11,MX-P1-1-334460,850101592323,2023-01-14 16:52:01,0,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 16:52:01,0,0,0,MX,P1,1.0,334460
T-57873-c71e8bdf-b6ca-4e58-880f-d7b47b26d3e5,MX-P1-1-515222,850101600784,2023-01-14 17:02:04,2023-01-14 17:02:03,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 17:02:04,0,0,0,MX,P1,1.0,515222
T-57873-35788eb5-5006-4548-a724-d9ac9125d505,MX-P1-1-749125,820106287577,2023-01-14 19:10:00,2023-01-14 19:10:00,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.9078,MX,75bee184-dc15-4d98-9d7e-19688e29f7a3,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 19:10:00,0,0,0,MX,P1,1.0,749125
T-57873-0f0b8259-57b4-4471-af9e-91388a4ab7e6,MX-P1-1-946506,820106318665,2023-01-14 19:31:09,2023-01-14 19:31:09,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.9078,MX,5c921926-ed2b-4a44-a004-04c1313212a4,1-1-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-14 19:31:09,0,0,0,MX,P1,1.0,946506
T-57873-33474642-5ddb-4ced-a348-19f1013d1025,MX-P1-1-647287,820107317087,2023-01-15 06:30:43,2023-01-15 06:30:43,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.9079,MX,22e84670-83d3-11ec-9de9-f56e781c8d65,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-15 06:30:43,0,0,0,MX,P1,1.0,647287
T-57873-0fa89a7c-1df3-4e79-b7f3-5358dbe4ed42,MX-P1-1-398828,820108861109,2023-01-16 06:30:41,2023-01-16 06:30:40,9.99,0.32,198.57,6.3542,0.0,0.0,MXN,19.8813,MX,720a7528-c303-4729-8ccc-9bcbbdc34bc5,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-16 06:30:41,0,0,0,MX,P1,1.0,398828
T-57873-1781dc24-aa34-4232-9da4-81c972cff168,MX-P1-1-926551,820108861146,2023-01-16 06:30:45,0,9.99,0.32,198.57,6.3542,0.0,0.0,MXN,19.8813,MX,84fdb740-61ae-11eb-9a50-d10dfc215e29,1-1-,NO ESTABA,SI ESTABA,MD,MasterCard Debit,2023-01-16 06:30:45,0,0,0,MX,P1,1.0,926551
